timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
9.583,30,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,6,9.05,0.877,medium
22.67,60,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,12,22.14,0.879,medium
22.67,60,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,5,9.33,0.909,medium
32.271,90,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,18,31.74,0.883,medium
32.271,90,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,5,9.33,0.909,medium
41.458,120,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,24,40.93,0.884,high
41.458,120,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,5,9.33,0.909,medium
50.282,150,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,30,49.75,0.884,high
50.282,150,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,5,9.33,0.909,medium
65.283,180,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,34,59.12,0.888,high
65.283,180,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.833,6,44.11,0.909,medium
65.283,180,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.797,low
65.283,180,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.915,low
78.657,210,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,33,59.0,0.887,high
78.657,210,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.833,6,44.11,0.909,medium
78.657,210,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.797,low
78.657,210,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.915,low
